familia,corrida,segundos,C,class_weight,max_iter,solver,penalty,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,umbral,tasa_predicha,prob_media,n_estimators,min_samples_leaf,max_features,max_depth,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample
random_forest,6,37.58464574813843,,,,,,0.705795972567111,0.698075263233795,0.2237649071879926,0.6377682811485603,0.5870036782042818,0.54321594565606,0.8930058284762697,0.6755154591430318,0.26,0.7913797981703291,0.3958389244789965,100.0,50.0,log2,20.0,,,,,
random_forest,7,31.321534395217896,,balanced,,,,0.6816241595179694,0.677965200241981,0.2227374788680116,0.635591218807733,0.5586036970668679,0.5235223160434258,0.9246706176225694,0.6685375850987544,0.35000000000000003,0.8502664340281052,0.4819043186455406,100.0,50.0,log2,8.0,,,,,
random_forest,8,233.1425642967224,,balanced,,,,0.7018235893242177,0.6931124164722275,0.21782682859869618,0.6249848987848736,0.5797415825709705,0.5380674144107112,0.8975608561492874,0.6728040385497935,0.30000000000000004,0.8030274450627181,0.467166758078686,300.0,5.0,0.5,16.0,,,,,
random_forest,9,45.75739550590515,,,,,,0.6976842915571774,0.691134611930612,0.2257167060442971,0.6419153944968475,0.5776666981043102,0.536151359464296,0.9098055541950335,0.6746998892178051,0.27,0.8168914458172215,0.39704631394625184,150.0,50.0,log2,12.0,,,,,
random_forest,10,94.5411946773529,,balanced,,,,0.7071476870246941,0.6975763894709144,0.21612654302220288,0.6205756208039817,0.5931811751391116,0.5480845241714807,0.8829161972865749,0.6763276867953552,0.32000000000000006,0.7754880694143167,0.4688133022630338,200.0,20.0,sqrt,24.0,,,,,
random_forest,11,35.5720796585083,,,,,,0.6827535507314012,0.6787256041932908,0.22907004180015805,0.6494216295152225,0.5574129963217958,0.5226953092684002,0.9283685164323848,0.6688249823570924,0.27,0.855017447892106,0.40068685112937086,150.0,20.0,sqrt,8.0,,,,,
random_forest,12,74.97308826446533,,balanced,,,,0.6878800289147452,0.6829945080934424,0.22029827039293054,0.6297480398812738,0.5714420447043289,0.5320554999284794,0.9109075770191507,0.6717474535866503,0.35000000000000003,0.8241771196831086,0.47867899649844553,150.0,20.0,0.5,8.0,,,,,
random_forest,13,93.36340284347534,,balanced,,,,0.6683322948396806,0.6503640611327922,0.24196349557312638,0.7042392613104601,0.5629303027445063,0.5277983143575337,0.8741489934858206,0.6581907360967695,0.2,0.7972979345468264,0.4680527911630311,150.0,1.0,sqrt,24.0,,,,,
random_forest,14,79.01850390434265,,balanced,,,,0.6988262227999719,0.6919407031659183,0.21814454053389098,0.6252576500874745,0.5757332830331039,0.5347224212547649,0.9137973257579468,0.6746582772835756,0.34,0.8226681127982647,0.4755627329050305,200.0,20.0,sqrt,12.0,,,,,
random_forest,15,49.4471755027771,,,,,,0.6824493049181222,0.6792687541968394,0.22924628333325553,0.6497918371503363,0.5569178534377063,0.5223884709707641,0.9285399422050252,0.6686181843831558,0.27,0.8556776384042252,0.40023679479106117,200.0,50.0,log2,8.0,,,,,
random_forest,16,87.87158012390137,,,,,,0.7000579617632067,0.692540693559608,0.2253991519467718,0.6413889314210665,0.5829482222012637,0.5403173383760784,0.895650683254151,0.6740200143749654,0.26,0.7979817032915213,0.39451676313360684,150.0,50.0,0.5,12.0,,,,,
random_forest,17,97.9938862323761,,,,,,0.6996738754526657,0.693247183850966,0.22503539316904986,0.6403990375736403,0.5801070451758936,0.5378235336765026,0.908336190429544,0.6756163535187023,0.27,0.8130364047910968,0.3974862357364369,300.0,5.0,sqrt,12.0,,,,,
random_forest,18,262.81094431877136,,balanced,,,,0.694651335521617,0.6849095585656908,0.2218514555713315,0.6358788653327471,0.5621404319532208,0.5258841835232768,0.9187196943723368,0.6688894634085458,0.24000000000000002,0.8410001886258606,0.4647942644050427,300.0,5.0,0.5,20.0,,,,,
random_forest,19,66.00106573104858,,,,,,0.6891294696641184,0.683352899085115,0.22702545555792877,0.644695293608656,0.5698387248891823,0.5309253408476361,0.9136014105892148,0.6715751575157516,0.27,0.8283740450815806,0.3990641689866142,150.0,1.0,0.5,8.0,,,,,
